
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Paint Me Perry                          1
  Tee Cos                                 1
  Dominyun                                1
  Zoomin for Bux                          1
  One Fabulous Eagle                      1
  Bf Farm Boss                            1
  Sixes Flash                             1
  Mr Ease Cartel                          1
  Bp Wagon Train                          1
  Jess Elie                               1
  Jess Good Candy                         1
  American Hussle                         1
  Mpshinning                              1
  Jet Black Patriot                       1
  Sir Runaway Dash                        1
  Black Bear                              1
  Rogueish                                1
  Noble Bird                              1
  Weigelia                                1
  Smart Strike                            1
  Harbor the Gold                         1
  Doc N Bubba G                           1
  Excaper                                 1
  Algorithms                              1
  Successful Appeal                       1
  Cutting Humor                           1
  Tapizar                                 1
  Peace and Justice                       1
  Giant Fun                               1
  Trust Factor                            1
  Ice Box                                 1
  Central Banker                          1
  Tale of the Cat                         1
  Fortify                                 1
  Lemon Drop Kid                          1
  Giant Gizmo                             1
  Forest Attack                           1
  Sock Hop                                1
  Echo Town                               1
  Itsmyluckyday                           1
  Etbauer                                 1
  Grazen                                  1
  No Nay Never                            1
  Acclamation                             1
  Vronsky                                 1
  Knicks Go                               1
  Conan                                   1
  Lexitonian                              1
  Code of Honor                           1
  No Parole                               1
  Rock Your World                         1
  Orb                                     1
  Beau Liam                               1
  Independence Hall                       1
  Yaupon                                  1
  Tacitus                                 1
  Accelerate                              1
  Uncle Chuck                             1
  Bucchero                                1
  Divining Rod                            1
  Due Date                                1
  Count Alexander                         1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Blue Fire                               6
  Boitano                                 6
  Berlaine                                5
  Nine Part                               5
  Runninginthemoney                       5
  Handsome Harold                         4
  Rue Lala                                4
  Kavod                                   4
  Sonofaship                              4
  Higgins Boat                            4
  F T W Slam                              4
  Secret Faith                            4
  Geaux Sugar                             4
  Fit to Fly                              4
  Petcoff                                 4
  Touchuponastar                          4
  Sippin On Gin                           4
  Ampitup                                 4
  Sue's Little Zing                       4
  One Line Ruler                          4
  Guile                                   4
  Boss of All Bosses                      4
  Braken Poppa                            4
  G'wildcat                               3
  Jack Hammer                             3
  Premium                                 3
  Hoodlum                                 3
  City of Love                            3
  Im Singled Up                           3
  Ova Charged                             3
  Z Z's Prince                            3
  Calicoco                                3
  Behemah Star                            3
  Drop Dead Sexy                          3
  Lil Chilly                              3
  Court Jester                            3
  Tarifa                                  3
  Hall of Fame                            3
  Niles Channel                           3
  Eye Dee Kay                             3
  Sweet Darlin                            3
  Miss Rosie                              3
  Glen Airy                               3
  Custom Cadillac                         3
  Benji Star                              3
  Gamer Nate                              3
  Emilyhasherturn                         3
  Zoom Erin                               3
  Lily's Creed                            3
  Tussling Charlie                        3
  Way to Be Marie                         3
  Clear as a Bele                         3
  Fast Flame                              3
  Smoothdini                              3
  Mo for Us                               3
  Classy Judy G                           3
  Honor His Half                          3
  Six String                              3
  Highly Wicked                           3
  Hexcel                                  3
  The Speedy One                          3
  Fionn                                   3
  Optimus Kat                             3
  Lovely Emma                             3
  Slick and Fast                          3
  Built                                   3
  Lagynos                                 3
  Tap Galore                              3
  Mesa Spirit                             3
  Precious Money                          3
  Mika Ella Pika                          3
  Sabi                                    3
  Canal Street                            3
  Gorilla Trek                            3
  Allnight Moonlight                      3
  Creole Chrome                           3
  Mamba Out                               3
  Little Miss Curlin                      3
  Synthetic                               3
  Calibrate                               3
  Gypsan                                  3
  Island Cabana                           3
  Princess Celine                         3
  Global Honor                            3


========================================================================
  TRACK: FAIRMOUNT PARK
  Files : 122 processed  |  0 skipped
  Races : 935
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Becker, Scott                      505  129   25.5%      $5.59
  Martinez, Ralph                    370   71   19.2%      $8.38
  Manley, Steve                      274   58   21.2%      $6.58
  Watkins, James                     226   57   25.2%      $7.25
  Durham, Mike                       350   42   12.0%     $14.43
  Lynch, Harry                       310   36   11.6%     $15.18
  Essenpreis, Eddie                  271   33   12.2%     $10.67
  Quinonez, Maximino                 168   31   18.5%      $9.07
  Plasters, Lori                     178   26   14.6%     $12.93
  Irion, Heather                      98   22   22.4%      $9.55
  Retana, Gabe                       205   21   10.2%     $16.00
  Butler, Gerald                      71   19   26.8%      $7.71
  Randazzo, Jr., Frank               120   19   15.8%      $9.65
  Hernandez, Armando                  54   18   33.3%      $4.93
  Burdess, Terry                      88   18   20.5%      $9.29
  Wainwright, John                   205   18    8.8%     $11.82
  Bahena, Fernando                   107   17   15.9%     $17.85
  Pompell, Robert                    205   17    8.3%     $14.74
  Rodriguez, Hugo                     43   16   37.2%     $12.40
  Delong, Ben                         78   14   17.9%     $11.71
  Rodriguez, Jose                     93   12   12.9%     $24.65
  McEwen, Billy                       32   10   31.2%      $8.88
  Rodriguez, Eduardo                  56   10   17.9%      $6.14
  Fridley, Steve                      94   10   10.6%     $12.52
  Clay, Pat                           38    9   23.7%      $9.87
  Blea III, Anthony                   94    9    9.6%     $24.93
  Rivelli, Larry                      17    8   47.1%      $5.48
  Laux, Clay                          66    8   12.1%      $7.15
  Childers, Vance                     74    8   10.8%      $8.00
  Schlenk, Jada                       35    7   20.0%      $8.57
  Appleton, Josh                      44    6   13.6%     $14.00
  Straub, Marvel                      75    6    8.0%     $14.33
  Thurman, Rhonda                     96    6    6.2%     $24.13
  Childers, Shane                     21    5   23.8%     $19.46
  Arnett, Jon                         26    5   19.2%     $13.92
  Alonso, Fernando                    29    5   17.2%     $13.36
  Jansen, Kenny                       33    5   15.2%      $7.32
  Lopez, Elias                        37    5   13.5%      $6.72
  Martin, Dawn                        45    5   11.1%      $9.08
  Wells, Duane                        57    5    8.8%     $22.36
  Huerta, Jose                        19    4   21.1%     $31.65
  Bentler, Don                        29    4   13.8%     $14.60
  Leonard III, George                 29    4   13.8%      $6.55
  Randazzo, Teddy                     80    4    5.0%      $7.10
  Nesbitt, Amy                        83    4    4.8%     $24.95
  Reavis, Michael                      8    3   37.5%      $2.53
  Sandrowski, Gene                    24    3   12.5%      $8.07
  Higgins, Dennis                     44    3    6.8%     $12.13
  Young, R.                            6    2   33.3%      $5.20
  Mullins, Charles                     6    2   33.3%     $11.70
  Meraz, Antonio                       7    2   28.6%      $4.70
  Boyce, Michele                       8    2   25.0%      $3.20
  Coontz, Arthur                      23    2    8.7%      $5.70
  Wilborn, J.                         48    2    4.2%     $47.50
  Zawitz, Joel                        65    2    3.1%      $8.10
  Rednour, Jr., John                  68    2    2.9%     $24.80
  Jelinski, Jessica                    7    1   14.3%     $18.00
  Hughes, Earl                         9    1   11.1%      $6.80
  Cook, Wesley                        13    1    7.7%      $7.40
  Breaux, Danita                      16    1    6.2%     $78.00
  Scalcione, Pete                     17    1    5.9%     $15.40
  Castro, Isidro                      23    1    4.3%      $3.60
  LaMew, Brian                        28    1    3.6%     $44.80
  Eubanks, Richard                     5    0    0.0%        ---
  Mosier, Harold                      32    0    0.0%        ---
  Martinez,                Ralph       6    0    0.0%        ---
  Razvi, Omar                          6    0    0.0%        ---
  Foxworth, Leonard                   19    0    0.0%        ---
  Caraker, Doug                        6    0    0.0%        ---
  DiZeo, Dino                         18    0    0.0%        ---
  Lear, Heidi                          6    0    0.0%        ---
  Smith, Mike                          5    0    0.0%        ---
  Bahena,                Fernando      6    0    0.0%        ---
  Durham,                Mike          5    0    0.0%        ---
  McDonnell, Bernard                   5    0    0.0%        ---
  Wiese, John                         23    0    0.0%        ---

  -- JOCKEY WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Bendezu, Alexander                 515  132   25.6%      $6.40
  Santos, Ademar                     489  113   23.1%      $8.84
  Wales, Travis                      460  106   23.0%      $7.11
  Arrieta, Reynier                   569   77   13.5%      $9.92
  Felix, Julio                       264   56   21.2%      $9.43
  Santiago, Victor                   356   46   12.9%      $9.81
  Orm, Cory                          224   36   16.1%     $13.58
  Diego, Javier                      417   35    8.4%     $15.95
  Bailon, Victor                     341   33    9.7%     $12.65
  Lopez, Uriel                       289   28    9.7%     $15.52
  Tavares, Javier                    146   25   17.1%     $12.70
  Simpson, Javour                    184   21   11.4%     $10.29
  Giles, Emmanuel                    287   20    7.0%      $9.66
  Molina, Jr., Juan                  149   19   12.8%     $10.65
  Ortiz, Alvin                       225   18    8.0%     $14.19
  Hernandez, Israel                  141   17   12.1%     $22.96
  Gonzalez, Santiago                 107   16   15.0%     $12.32
  Ortega, Harold                     117   10    8.5%     $34.76
  Blanche, Rishawn                    67    9   13.4%     $12.29
  Gonzalez, Alex                     105    8    7.6%     $12.85
  Centeno, Alexis                     21    7   33.3%      $4.43
  Aranguren, Johanis                  29    7   24.1%     $15.23
  Ulloa, Carlos                       42    7   16.7%     $11.23
  Reyes, Frank                        46    7   15.2%      $5.91
  Colon, Luis                         18    5   27.8%      $4.84
  Stanley, Angel                      29    5   17.2%     $21.36
  Lara, Victor                        15    4   26.7%      $6.40
  Mojica, Orlando                     19    4   21.1%      $5.35
  IRE                                  7    3   42.9%      $6.47
  Sampson, Kim                        79    3    3.8%     $30.00
  Murrill, Mitchell                    5    2   40.0%      $5.90
  Hernandez, Olaf                      7    2   28.6%      $5.40
  Troxtell, Brittany                   8    2   25.0%      $9.90
  Slevinsky, Rachel                   12    2   16.7%     $27.50
  Herrera, Carlos                     30    2    6.7%      $4.80
  Bethke, Scott                        8    1   12.5%      $3.20
  Thurman, Elizabeth                   9    1   11.1%      $9.00
  Ortega, Javier                      12    1    8.3%     $45.60
  Roman, Constantino                   7    0    0.0%        ---
  Gallardo, Eduardo                   10    0    0.0%        ---
  Baird, E.                            9    0    0.0%        ---

  -- SIRE WIN COUNTS --
  Sire                                    W
  ------------------------------------  ---
  Ghaaleb                                61
  Goldencents                            19
  Tapiture                               19
  Temple City                            14
  Cinco Charlie                          12
  Khozan                                 12
  Mor Spirit                             12
  American Freedom                       10
  Firing Line                            10
  Alternation                            10
  Cross Traffic                          10
  Palace Malice                          10
  Nyquist                                 9
  Stay Thirsty                            9
  Midnight Storm                          9
  Ghostzapper                             9
  Well Positioned                         9
  Race Day                                9
  Tapizar                                 9
  West Coast                              9
  Mineshaft                               8
  The Factor                              8
  Adios Charlie                           8
  Runhappy                                8
  Algorithms                              8
  Malibu Moon                             7
  Mastery                                 7
  Forest Attack                           7
  Secret Circle                           7
  Mutadda                                 7
  Mshawish                                7
  Upstart                                 7
  Into Mischief                           7
  Heart to Heart                          7
  Wicked Strong                           6
  Jack Milton                             6
  Dialed In                               6
  Speightster                             5
  Violence                                5
  Midnight Lute                           5
  Palace                                  5
  Outwork                                 5
  Paynter                                 5
  Hard Spun                               5
  Lea                                     5
  Afleet Alex                             5
  Coal Front                              5
  Tamarkuz                                5
  Bernardini                              5
  Midshipman                              5
  Gio Ponti                               5
  Mendelssohn                             5
  Carpe Diem                              4
  Three Hour Nap                          4
  Long Island Sound                       4
  Santiva                                 4
  Can the Man                             4
  Sky Kingdom                             4
  Klimt                                   4
  Cupid                                   4
  Mucho Macho Man                         4
  Tonalist                                4
  Blame                                   4
  Always Dreaming                         4
  Lord Nelson                             4
  Shaman Ghost                            4
  Brahms                                  4
  Catalina Cruiser                        4
  Caravaggio                              4
  Cloud Computing                         4
  Strong Mandate                          4
  Catholic Boy                            4
  Awesome of Course                       4
  Collected                               4
  American Pharoah                        4
  Sir Loren                               3
  Magna Graduate                          3
  Texas Red                               3
  Mobil                                   3
  Good Magic                              3
  Not This Time                           3
  Gormley                                 3
  Arcade                                  3
  Regal Ransom                            3
  V. E. Day                               3
  Telling                                 3
  Ironicus                                3
  Keen Ice                                3
  Dominus                                 3
  Danza                                   3
  Hero of Order                           3
  Im a Fancy Pyc                          3
  Street Boss                             3
  Majestic Harbor                         3
  Yorkton                                 3
  Girolamo                                3
  Distorted Humor                         3
  El Medwar                               3
  Morning Line                            3
  Cairo Prince                            3
  Mitole                                  3
  Country Be Gold                         3
  Pataky Kid                              3
  Sharp Azteca                            3
  Practical Joke                          3
  Get Stormy                              3
  Ministers Wild Cat                      3
  Constitution                            3
  Isotherm                                3
  Quality Road                            3
  Game Winner                             3
  Mo for the Money                        2
  Daddy Long Legs                         2
  Shakin It Up                            2
  Revolutionary                           2
  Gun Runner                              2
  Brilliant Speed                         2
  Super Saver                             2
  Oscar Performance                       2
  Empire Maker                            2
  Kitalpha                                2
  California Chrome                       2
  Kantharos                               2
  Devil Hunter                            2
  Mohaymen                                2
  Verrazano                               2
  Creative Cause                          2
  Successful Appeal                       2
  Mr Speaker                              2
  Uncle Mo                                2
  Point of Entry                          2
  Euroears                                2
  Valiant Minister                        2
  Tizdejavu                               2
  Justin Phillip                          2
  Elnaawi                                 2
  What Now                                2
  Looking Cool                            2
  Greenpointcrusader                      2
  Declaration of War                      2
  Trappe Shot                             2
  Include                                 2
  Flat Out                                2
  Thousand Words                          2
  Take Charge Indy                        2
  Skipshot                                2
  Classic Empire                          2
  Summer Front                            2
  Win Win Win                             2
  Awesome Patriot                         2
  Home of the Brave                       2
  Unified                                 2
  Young Brian                             2
  The Big Beast                           2
  Legal Move                              2
  Frosted                                 2
  Atta Boy Roy                            2
  Enticed                                 2
  Oxbow                                   2
  Battalion Runner                        2
  Newport                                 2
  Eagle                                   2
  Tapwrit                                 2
  Shackleford                             2
  Gunnevera                               2
  Army Mule                               2
  Honor Code                              2
  Liaison                                 2
  Bravazo                                 2
  Grazen                                  2
  Jimmy Creed                             2
  Overanalyze                             1
  In Trouble                              1
  El Corredor                             1
  Daredevil                               1
  Big Blue Kitten                         1
  Even the Score                          1
  Albertus Maximus                        1
  Suntracer                               1
  To Honor and Serve                      1
  Will Take Charge                        1
  Bluegrass Cat                           1
  Noble Bird                              1
  Highly Justin                           1
  War Command                             1
  Closing Argument                        1
  Line of David                           1
  Commissioner                            1
  Omaha Beach                             1
  Mt Waverly                              1
  Neolithic                               1
  Maimonides                              1
  Excaper                                 1
  Tapidor                                 1
  Hootenanny                              1
  Birdstone                               1
  Blofeld                                 1
  Congrats                                1
  Drosselmeyer                            1
  Street Sense                            1
  Global Response                         1
  Stormy Atlantic                         1
  Zivo                                    1
  Broken Vow                              1
  Fast Anna                               1
  Wildcat Red                             1
  Discreet Cat                            1
  Fed Biz                                 1
  Govenor Charlie                         1
  Mo Town                                 1
  Atreides                                1
  Audible                                 1
  McKinzie                                1
  Laoban                                  1
  Improbable                              1
  Maximus Mischief                        1
  Graydar                                 1
  Protonico                               1
  Tale of Verve                           1
  World of Trouble                        1
  Notional                                1
  McCraken                                1
  Alluvial                                1
  Connect                                 1
  Stealcase                               1
  Instagrand                              1
  Risk and Return                         1
  Ameriheart                              1
  Exaggerator                             1
  Breaking Lucky                          1
  Shogood                                 1
  Road Ruler                              1
  Shady Grove                             1
  Maxfield                                1
  Unbridled Energy                        1
  Drill Sergeant                          1
  City of Light                           1
  American Pastime                        1
  Vino Rosso                              1
  Leadem in Ken                           1
  Volatile                                1
  Munnings                                1
  Durango Kid                             1
  Union Rags                              1
  Jonesboro                               1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Lil Bit Tipsey                          7
  Sonnyisnotsofunny                       6
  Gold Oak                                6
  Stud Lovin                              6
  Too Much Tuesday                        5
  Racetothefinish                         5
  Ghaaleb's Honor                         4
  Onacounta                               4
  Spanish Doubloon                        4
  Be My Bestie                            4
  On the Money Red                        4
  Spicy Delight                           4
  Bill's Honor                            4
  Runningforcash                          4
  Tense                                   4
  Tapicita                                4
  Wildwood Ruben                          4
  Ghaaleb's City                          4
  Peytons Honor                           4
  Tapit Sam                               4
  Strope                                  4
  Just At Midnight                        4
  Diamondonice                            4
  Santino's Fantasy                       4
  Tapinyourbluejeans                      4
  Gold Smoke                              4
  Bernie Lomax                            4
  Ship It                                 4
  Little Sass                             4
  Pontus                                  4
  Idea Man                                4
  Natalia's Rap                           4
  Midnite Alex                            4
  Mama's Memories                         4
  Swiss Guard                             4
  Hootie Hoot                             4
  Xpressir                                3
  Boise                                   3
  Talis Park Grad                         3
  Ghaly Posse                             3
  Bureau                                  3
  I'm Your Valentine                      3
  Troy Ounce                              3
  Viva Violence                           3
  Dennis's Pride                          3
  Baseball Politics                       3
  Mystic Power                            3
  D' Yank                                 3
  Crepe Yarns                             3
  Road Game                               3
  Betty's Secret                          3
  Danza Taxi                              3
  Khozan's Valentine                      3
  Vasariah's Image                        3
  Beirut Beauty                           3
  Minnesota Moon                          3
  W W Grand Finale                        3
  Somnus                                  3
  Im a Fancee Chik                        3
  Five Star Run                           3
  Seminole Beach                          3
  Reba Attack                             3
  Miss Tena Marie                         3
  Jamaican Traffic                        3
  Philipsburg                             3
  Hand Over My Heart                      3
  Arose for Lyla                          3
  Madi's Circle                           3
  Fever Nation                            3
  Scrappy Patch                           3
  Solomon Vandy                           3
  Off to the Races                        3
  Bikini Martini                          3
  Girlolamo'glory                         3
  Moro Maestro                            3
  Redfield                                3
  Tortuga Island                          3
  Wildwood Posse                          3
  Layton the Day                          3
  American Warrior                        3
  Tonys Morning Line                      3
  Ernestina                               3
  Tina's Tapizar                          3
  Big Sally                               3
  Fast N Happy                            3
  Tricky Moment                           3
  Stagflation                             3
  Cantstealmythunder                      3
  Mister Sharpie                          3
  Ellie Deli                              3
  Ravin's Ransom                          3
  I'm Interested                          3
  Dancing Raquel                          3
  Prancipants                             3
  Brown Reserve                           3
  Q B Nine                                3
  Adios Kid                               3
  Purple Octopus                          3
  Upbeat Melody                           3
  Lemon Drop Shot                         3
  Chance Taker                            3
  Goodbye Indy                            3
  Smooth N Silky                          3
  Golden Buck                             3
  Chryso Alogo                            3
  Irish Spark                             3
  Heart N Soul                            3


========================================================================
  TRACK: GULFSTREAM PARK
  Files : 474 processed  |  0 skipped
  Races : 4656
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Joseph, Jr., Saffie               1709  408   23.9%      $6.86
  D'Angelo, Jose                    1305  239   18.3%      $8.42
  David, Carlos                      765  177   23.1%      $7.85
  Barboza, Jr., Victor               710  151   21.3%      $8.23
  Casse, Mark                        983  141   14.3%     $10.15
  Crichton, Rohan                    577  111   19.2%      $8.69
  Fawkes, David                      506  103   20.4%     $10.58
  Sano, Antonio                      915  101   11.0%     $11.63
  Pletcher, Todd                     559   99   17.7%      $8.18
  Orseno, Joseph                     616   90   14.6%     $14.00
  Dibona, Bobby                      371   80   21.6%      $7.26
  Abreu, Fernando                    454   67   14.8%     $12.04
  Lynch, Brian                       283   64   22.6%      $7.92
  Delgado, Jorge                     339   63   18.6%     $11.00
  Spatz, Ronald                      406   56   13.8%     $10.95
  Sweezey, J.                        328   53   16.2%     $11.31
  Drexler, Martin                    298   51   17.1%     $11.22
  Mott, William                      285   50   17.5%     $10.35
  Ramsey, Nolan                      238   49   20.6%      $8.45
  Sanchez, Amador                    313   46   14.7%      $9.71
  Maker, Michael                     331   46   13.9%     $10.13
  Biancone, Patrick                  228   45   19.7%      $9.85
  Coy, Ronald                        248   43   17.3%     $10.20
  Klesaris, Steve                    338   43   12.7%     $10.40
  Yates, Michael                     317   42   13.2%     $13.60
  Walsh, Brendan                     262   41   15.6%     $11.35
  O'Connell, Kathleen                384   40   10.4%     $15.96
  Cazares, Laura                     329   37   11.2%     $12.69
  Plesa, Jr., Edward                 197   36   18.3%     $13.36
  Weaver, George                     180   34   18.9%     $10.05
  Gonzalez, Oscar                    223   33   14.8%      $9.41
  Breen, Kelly                       245   32   13.1%      $7.98
  Antonucci, Jena                    270   31   11.5%     $14.61
  Ramirez, Luis                      167   30   18.0%     $15.19
  Brown, Chad                        202   30   14.9%      $8.39
  Hurtak, Daniel                     357   30    8.4%     $15.41
  Cox, Brad                          107   29   27.1%      $9.63
  Clement, Christophe                182   29   15.9%      $7.39
  Lerman, Michael                    186   29   15.6%     $10.83
  Narvaez, Carlos                    195   29   14.9%     $11.12
  Bennett, Gerald                    200   29   14.5%     $18.97
  Smullen, Heather                   357   29    8.1%     $16.43
  Sisterson, Jack                    173   27   15.6%     $10.27
  Moubarak, Tareq                    180   27   15.0%     $10.25
  Castro, Jose                       185   27   14.6%      $9.99
  Perez, Carlos                      196   27   13.8%     $15.68
  Delgado, Gustavo                   167   26   15.6%     $12.01
  Dobles, Elizabeth                  242   26   10.7%     $13.31
  Walder, Peter                      176   25   14.2%     $13.50
  Sierra, Ruben                      276   25    9.1%     $27.36
  Trombetta, Michael                 166   23   13.9%     $13.77
  Braddy, J.                         179   23   12.8%      $9.76
  Garoffalo, Jose                    291   22    7.6%     $22.42
  Romans, Dale                       121   21   17.4%      $9.24
  Jackson, Gary                      133   21   15.8%     $10.71
  Rodriguez, Angel                   267   21    7.9%     $12.95
  Maragh, Collin                     117   20   17.1%     $12.66
  Gutierrez, Fausto                  129   20   15.5%     $22.74
  De La Cerda, Armando               195   20   10.3%     $11.76
  Hernandez, Jr., Sandino             99   19   19.2%     $10.28
  McGaughey III, Claude              118   19   16.1%     $11.92
  Mott, Riley                        144   19   13.2%      $9.42
  Moubarak, Nader                    111   18   16.2%     $17.26
  Palmer, Nicholas                   116   18   15.5%     $13.43
  Dwoskin, Steven                    176   18   10.2%     $12.71
  Miller, Herbert                    193   18    9.3%     $12.59
  Stormfelt, Julie                    86   17   19.8%     $11.59
  Chapman, Beau                      100   16   16.0%      $8.72
  Gallegos, Jose                     105   16   15.2%     $12.66
  Lightner, Mary                     119   16   13.4%     $11.71
  Motion, H.                         125   16   12.8%     $14.49
  Young, Jennifer                    129   16   12.4%     $10.07
  Wilkes, Ian                        136   16   11.8%     $13.20
  Negrete, Javier                    228   16    7.0%     $22.39
  Gargan, Danny                       81   15   18.5%      $9.61
  Budhoo, Steve                      114   15   13.2%     $18.13
  McKanas, Leon                      160   15    9.4%     $23.03
  Antonacci, Philip                   57   14   24.6%      $5.77
  Abreu, Jorge                        71   14   19.7%     $13.67
  Rodriguez, Roderick                116   14   12.1%     $16.07
  Alvarado, Juan                     117   14   12.0%      $7.86
  Pinchin, Jose                      122   14   11.5%      $9.41
  Quiroz, Angel                      123   14   11.4%     $22.30
  Croft, Barry                       131   14   10.7%     $13.10
  Cordero, Eniel                     167   14    8.4%      $9.06
  Wilensky, Sam                       87   13   14.9%      $8.55
  Alter, Happy                       101   13   12.9%      $9.40
  Tharrenos, William                 102   13   12.7%     $12.80
  Regalbuto, Frank                   124   13   10.5%     $17.88
  Santoro, Sal                        40   12   30.0%      $8.95
  Tomlinson, Nicholas                 49   12   24.5%      $7.75
  Arnold II, George                   82   12   14.6%      $8.50
  Zanelli, Dante                     133   12    9.0%     $18.07
  Maragh, Aubrey                      76   11   14.5%     $10.89
  Parbhoo, Shivananda                 86   11   12.8%     $15.31
  Lewis, Lisa                         87   11   12.6%     $11.89
  Baxter, Georgina                   119   11    9.2%      $9.80
  Preciado, Guadalupe                150   11    7.3%      $9.60
  Catanese III, Joseph               256   11    4.3%     $10.93
  Ward, Wesley                        49   10   20.4%      $6.24
  Robson, Lauren                      51   10   19.6%      $8.02
  Kelly, Blake                        70   10   14.3%     $20.22
  Passley, Mark                       92   10   10.9%     $12.66
  Sancal, Murat                       45    9   20.0%     $10.42
  Falcone, Jr., Robert                56    9   16.1%     $14.27
  Margotta, Jr., Anthony              79    9   11.4%     $14.18
  Hennig, Mark                        85    9   10.6%      $7.69
  Giddings, Melanie                   88    9   10.2%      $8.82
  O'Dwyer, Jeremiah                  112    9    8.0%      $8.42
  Gonzalez, Javier                   135    9    6.7%     $19.98
  Puckett, Andrea                     43    8   18.6%     $17.50
  Torres, Pablo                       48    8   16.7%     $15.70
  McKathan, Kevin                     57    8   14.0%     $21.75
  Hills, Timothy                      84    8    9.5%     $27.23
  Eppler, Mary                        87    8    9.2%     $11.53
  Seyler, Douglas                    100    8    8.0%     $31.68
  Engler, Jeff                       112    8    7.1%     $18.75
  McGoey, Monica                     174    8    4.6%     $33.65
  Owens, Steven                       33    7   21.2%     $15.60
  Walden, William                     37    7   18.9%     $12.14
  Subratie, Gary                      47    7   14.9%     $27.77
  Garcia, Jr., Pedro                  57    7   12.3%     $15.20
  Santiago, Joel                      59    7   11.9%     $22.14
  Danner, Kelsey                      67    7   10.4%     $11.74
  Williams, Matthew                   69    7   10.1%     $28.17
  Romero, Rafael                      71    7    9.9%     $13.09
  Lutchman, Padarath                  96    7    7.3%     $16.06
  Garcia, Rodolfo                    103    7    6.8%     $16.43
  Miller, Rory                        33    6   18.2%     $14.03
  Attard, Kevin                       34    6   17.6%     $17.23
  Minguet, Ramon                      37    6   16.2%     $32.80
  Davey, Kathryn                      52    6   11.5%     $11.23
  Tagg, Barclay                       53    6   11.3%     $17.60
  Nunez, Eduardo                      65    6    9.2%     $14.43
  Toner, James                        72    6    8.3%     $11.67
  Real, Manny                         80    6    7.5%     $22.77
  Campos, Bernardo                    83    6    7.2%     $13.93
  Acker, Scott                       121    6    5.0%     $13.37
  Duco, Luis                         123    6    4.9%     $15.33
  Brion, Keri                         30    5   16.7%     $11.08
  Arscott, Garrett                    37    5   13.5%     $27.88
  Pompay, Teresa                      42    5   11.9%     $13.76
  Morici, Diane                       43    5   11.6%     $11.08
  McPeek, Kenneth                     44    5   11.4%     $19.96
  Gulick, James                       45    5   11.1%      $6.72
  Luna, Luis                          49    5   10.2%     $16.48
  Owens, Jr, Eddie                    50    5   10.0%     $11.44
  Laurin, Roger                       60    5    8.3%     $19.16
  De Paulo, Michael                   61    5    8.2%     $17.16
  Cascallares, Nestor                 64    5    7.8%     $25.12
  Santillana, Frank                   80    5    6.2%     $16.12
  Minott, Leon                        82    5    6.1%     $23.32
  Jehaludi, Mohamed                   82    5    6.1%     $15.32
  Labo, Frederick                     90    5    5.6%     $11.48
  Ochoa, Gerard                       90    5    5.6%     $19.44
  Rizo, Juan                          15    4   26.7%     $34.15
  Mosco, Robert                       18    4   22.2%     $26.05
  Wilensky, Herman                    28    4   14.3%     $11.20
  DeVaux, Cherie                      31    4   12.9%      $7.30
  Dutrow, Anthony                     32    4   12.5%      $8.65
  Rice, Kevin                         33    4   12.1%     $17.30
  Cornejo, Marcial                    41    4    9.8%     $16.10
  Nunn, Douglas                       44    4    9.1%     $19.30
  Simpson, Willoughby                 44    4    9.1%     $23.10
  Cibelli, Jane                       46    4    8.7%     $24.15
  Dakin, Diley                        56    4    7.1%     $16.85
  Zito, Nicholas                      59    4    6.8%     $18.80
  Williams, Andy                      64    4    6.2%     $29.15
  Winebaugh, Cheryl                   66    4    6.1%     $17.65
  Simms, Herold                       71    4    5.6%     $14.25
  Tessore, Bruno                      81    4    4.9%     $14.95
  Collazo, Henry                      81    4    4.9%     $32.50
  Garcia, Pedro                       89    4    4.5%      $8.90
  Loza, Jr., Efren                     5    3   60.0%      $6.33
  Bauer, Philip                        9    3   33.3%     $10.00
  Cox, Gail                            9    3   33.3%     $17.93
  Hemingway, Michelle                  9    3   33.3%     $21.93
  Vaccarezza, Nicholas                10    3   30.0%     $12.00
  Rodriguez, Darien                   11    3   27.3%      $9.40
  Russell, Brittany                   18    3   16.7%      $6.13
  Barbazon III, Lester                18    3   16.7%     $16.20
  Proctor, Thomas                     18    3   16.7%      $6.93
