
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Shankle, Joanne                     10    2   20.0%      $6.40
  Rodriguez, Jose                     10    2   20.0%     $16.80
  Kolb, Christopher                   14    2   14.3%      $6.20
  Ramirez, Jose                       14    2   14.3%     $17.20
  Dove, Jr., Kevin                    15    2   13.3%     $10.00
  Couchenour, Lee                     15    2   13.3%     $14.00
  Caiazzo, Corby                      16    2   12.5%     $16.90
  Kee, Willie                         17    2   11.8%      $7.40
  Meeks, Karl                         17    2   11.8%      $8.40
  Carpio, Erin                        20    2   10.0%     $26.40
  Barr, Donald                        21    2    9.5%      $6.10
  Harting, Chris                      22    2    9.1%      $9.20
  Viands, Gregory                     22    2    9.1%     $15.20
  Sewell, Lenworth                    25    2    8.0%     $89.20
  Gur, Battulga                       28    2    7.1%      $8.10
  Craig, Armonte                      32    2    6.2%      $4.00
  Serey, Jr., Mario                   33    2    6.1%      $5.90
  Cuttino, Marion                     36    2    5.6%     $16.20
  Hamlin, Kathleen                    41    2    4.9%     $12.20
  Barber, Bobby                       42    2    4.8%     $36.80
  Reyes, Ruben                        46    2    4.3%     $19.10
  Calhoun, Amanda                     47    2    4.3%      $9.80
  Soldo, Elaine                       47    2    4.3%     $83.50
  Caison, Jody                        71    2    2.8%     $12.20
  Shanley, Mark                       78    2    2.6%     $10.10
  Lucas, Bonnie                        5    1   20.0%      $5.00
  Walters, Henry                       5    1   20.0%     $21.60
  Eubanks, Annette                     5    1   20.0%      $8.00
  Albert, Linda                        5    1   20.0%      $7.60
  Keil, Caitlin                        6    1   16.7%     $10.60
  Smith, Valrie                        6    1   16.7%     $18.60
  O'Callaghan, Carl                    6    1   16.7%      $8.00
  Agnew, Naoise                        6    1   16.7%     $39.60
  Walters, John                        6    1   16.7%      $8.20
  Galligan, Gerard                     6    1   16.7%      $8.00
  Robb, Gina                           6    1   16.7%      $5.60
  Kulp, Brandon                        7    1   14.3%      $9.20
  Gutierrez, Fausto                    7    1   14.3%      $3.00
  Milosevic, Milan                     7    1   14.3%      $7.00
  Short, Tommy                         7    1   14.3%      $3.40
  Babcock, Rebecca                     7    1   14.3%     $25.60
  Lynch, Cathal                        7    1   14.3%      $3.40
  Gotera, Juan                         8    1   12.5%      $5.40
  Smith, Collie                        9    1   11.1%     $13.60
  Dunham, Bernard                     10    1   10.0%      $3.40
  Salazar, Marco                      11    1    9.1%     $10.20
  Libertini, Jason                    11    1    9.1%     $10.20
  Jones, Royland                      11    1    9.1%     $32.40
  Rodriguez, Angel                    11    1    9.1%      $3.40
  McKenzie, Daniel                    12    1    8.3%      $8.40
  Harigeorgiou, Konstantinos          12    1    8.3%      $9.80
  Dillon, Jacob                       12    1    8.3%     $17.00
  Payne, Curtis                       12    1    8.3%      $6.00
  Kopecki, Sara                       13    1    7.7%     $19.40
  Albright, Amy                       13    1    7.7%     $10.80
  Hernandez Cano, Selvin              14    1    7.1%     $13.60
  Valvo, Zoe                          16    1    6.2%     $11.40
  Heath, George                       18    1    5.6%      $4.00
  Figueroa, Samuel                    21    1    4.8%     $42.40
  Cruz, Jaime                         21    1    4.8%      $4.20
  Martin, August                      21    1    4.8%      $9.00
  Payne, Jr., Claude                  22    1    4.5%     $13.20
  Robbins, Cliff                      24    1    4.2%     $14.60
  Maldonado, Joel                     25    1    4.0%     $16.60
  Cipriano, Robert                    27    1    3.7%      $6.20
  Ceciliano, Misael                   29    1    3.4%      $4.20
  Murtaugh, Andrew                    32    1    3.1%     $40.80
  Ovando, Melvin                      33    1    3.0%      $7.00
  Smith, Lawrence                     34    1    2.9%      $3.60
  Campbell, Larry                     45    1    2.2%      $5.80
  Pennella, Rhea                      83    1    1.2%     $24.60
  Montilla, Carlos                     7    0    0.0%        ---
  Gonzalez, Claudio                    7    0    0.0%        ---
  McKee,                Cynthia       13    0    0.0%        ---
  Lewis, Jr.,                William     7    0    0.0%        ---
  Huet, Terry                         18    0    0.0%        ---
  Clouston, Eddie                      9    0    0.0%        ---
  Farrior,                Anthony     23    0    0.0%        ---
  Fiesman, Robert                     29    0    0.0%        ---
  Magana, Jose                         8    0    0.0%        ---
  Petty,                Kristy         7    0    0.0%        ---
  Corrales, Jose                      17    0    0.0%        ---
  McClure, Diana                      25    0    0.0%        ---
  Sigler,                Ronald        7    0    0.0%        ---
  Pyke,                Joseph          9    0    0.0%        ---
  Carlisle,                John        5    0    0.0%        ---
  Contreras,                Javier    10    0    0.0%        ---
  Viands,                Stacey       14    0    0.0%        ---
  Inman, Robert                        5    0    0.0%        ---
  Caison,                Jody          5    0    0.0%        ---
  Hunt, James                         18    0    0.0%        ---
  Salinas, Jose                        7    0    0.0%        ---
  Fiesman,                Robert       5    0    0.0%        ---
  Vick, Timothy                        9    0    0.0%        ---
  Brown,                Ronney        26    0    0.0%        ---
  Wilhelm,                Tabitha      8    0    0.0%        ---
  Perez,                Ernesto        7    0    0.0%        ---
  Covello, Andrea                     19    0    0.0%        ---
  Figgins, Jr., Ollie                 10    0    0.0%        ---
  Deiter,                Kelly         5    0    0.0%        ---
  Jones, Jr.,                Michael    61    0    0.0%        ---
  Baird, J.                            6    0    0.0%        ---
  Richison, Crystal                    5    0    0.0%        ---
  Siculietano,                Daniel     6    0    0.0%        ---
  Atkins,                Michael      12    0    0.0%        ---
  Carson, Laura                       39    0    0.0%        ---
  Patterson, Kevin                     5    0    0.0%        ---
  Smith,                Osborne        8    0    0.0%        ---
  Fulmer, Allison                     19    0    0.0%        ---
  Morzan, Javier                      12    0    0.0%        ---
  Clatterbuck,                Frederick    10    0    0.0%        ---
  King, Adam                           9    0    0.0%        ---
  Clagett, Christine                  12    0    0.0%        ---
  Pickett,                Crystal      8    0    0.0%        ---
  Shanley,                Timothy     17    0    0.0%        ---
  Oxendine, Adam                       5    0    0.0%        ---
  Mohan, David                         5    0    0.0%        ---
  Knudsen,                Kent         5    0    0.0%        ---
